survey_id,registration_id,satisfaction_score,usefulness_score,instructor_score,recommendation_score,overall_score,NPS_bucket,survey_comments,survey_submission_date
1,3,5,4,5,4,4.5,Passive,"The panel Q&A during Mentor Office Hours really clicked for me, I left with actionable next steps; I left energized to keep learning. The networking breakouts during Mentor Office Hours really clicked for me, the pacing made complex ideas feel doable.",10/28/24 16:14
2,5,5,4,5,5,4.75,Promoter,"At first, the pacing made complex ideas feel doable, the goal-setting exercise during Mentor Office Hours really clicked for me; I left energized to keep learning. The pacing made complex ideas feel doable, the mentor roundtable during Mentor Office Hours really clicked for me; This was absolutely worth the time. (wish there had been more time).",8/28/23 23:10
3,6,4,5,5,4,4.5,Passive,"The goal-setting exercise during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected; This was absolutely worth the time. The networking breakouts during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school; I'd definitely recommend this to a friend.",11/6/24 16:19
4,7,5,3,4,5,4.25,Promoter,"Overall, the mentor roundtable during Mentor Office Hours really clicked for me, the hands-on segment tied everything together. To be fair, the networking breakouts during Mentor Office Hours really clicked for me, the hands-on segment tied everything together. The networking breakouts during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; It was useful overall. — next time I'd bring a friend. The mentors were down-to-earth and answered real questions, the networking breakouts during Mentor Office Hours really clicked for me; I might recommend it depending on the topic.",1/3/22 18:28
5,8,4,4,5,4,4.25,Passive,"I met people who want to collaborate on projects, the resume clinic during Mentor Office Hours really clicked for me. The panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I might recommend it depending on the topic.",10/5/25 15:09
6,11,4,4,4,5,4.25,Promoter,"The hands-on segment tied everything together, the networking breakouts during Girls in STEAM Mentoring really clicked for me; I'm curious to see how the next session improves! The pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me; I'd attend again with a clearer agenda.",4/4/23 12:03
7,12,4,5,5,5,4.75,Promoter,"I left with actionable next steps, the Python lab during Monthly Coding Club really clicked for me; I left energized to keep learning. The pacing made complex ideas feel doable, the Arduino demo during Monthly Coding Club really clicked for me.",6/16/24 22:02
8,13,4,4,4,5,4.25,Promoter,"In my opinion, the color theory lesson during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd.",9/19/25 9:08
9,14,4,4,4,5,4.25,Promoter,"The Python lab during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd — which surprised me in a good way. I didn't expect this, but, the Python lab during Robotics Lab Saturday really clicked for me, there were concrete examples I can reuse at school (snacks were a plus). The robot build during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable.",2/5/24 8:06
10,15,5,5,4,5,4.75,Promoter,"I left with actionable next steps, the panel Q&A during Mentor Office Hours really clicked for me; I'd come again and bring a classmate next time! The pacing made complex ideas feel doable, the resume clinic during Mentor Office Hours really clicked for me! Overall, I left with actionable next steps, the panel Q&A during Mentor Office Hours really clicked for me; I left energized to keep learning!",6/16/24 15:22
11,16,4,4,5,5,4.5,Promoter,"In my opinion, the mixed-media project during Intro to Painting Class really clicked for me, it boosted my confidence more than I expected; I'd come again and bring a classmate next time. The sketch warmups during Intro to Painting Class really clicked for me, it boosted my confidence more than I expected!",9/5/24 15:26
12,17,4,5,4,5,4.5,Promoter,"I left with actionable next steps, the networking breakouts during Mentor Office Hours really clicked for me. There were concrete examples I can reuse at school, the mentor roundtable during Mentor Office Hours really clicked for me — next time I'd bring a friend. The panel Q&A during Mentor Office Hours really clicked for me, I left with actionable next steps; This was absolutely worth the time!",8/25/25 23:28
13,18,5,5,4,4,4.5,Passive,"There were concrete examples I can reuse at school, the Arduino demo during Data Science Study Group really clicked for me; I left energized to keep learning! To be fair, the web dev sprint during Data Science Study Group really clicked for me, there were concrete examples I can reuse at school; I'd definitely recommend this to a friend. At first, I left with actionable next steps, the web dev sprint during Data Science Study Group really clicked for me.",11/12/21 9:07
14,19,5,4,5,5,4.75,Promoter,"The coding challenges during Data Science Study Group really clicked for me, the pacing made complex ideas feel doable; I'd definitely recommend this to a friend. The coding challenges during Data Science Study Group really clicked for me, I met people who want to collaborate on projects; This was absolutely worth the time. There were concrete examples I can reuse at school, the robot build during Data Science Study Group really clicked for me.",3/3/23 8:22
15,20,4,3,4,5,4,Promoter,"If I'm being honest, the panel Q&A during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd (snacks were a plus)! I didn't expect this, but, the resume clinic during Mentor Office Hours really clicked for me, the hands-on segment tied everything together (wish there had been more time).",7/3/23 14:11
16,21,4,4,5,5,4.5,Promoter,"The panel Q&A during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd; I'd come again and bring a classmate next time. The networking breakouts during Girls in STEAM Mentoring really clicked for me, I met people who want to collaborate on projects. By the end, the hands-on segment tied everything together, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me.",9/6/23 12:17
17,22,4,4,4,5,4.25,Promoter,"In my opinion, the mentor roundtable during Leadership Circle Meetup really clicked for me, I met people who want to collaborate on projects. From my perspective, it boosted my confidence more than I expected, the mentor roundtable during Leadership Circle Meetup really clicked for me.",5/17/23 5:27
18,24,4,5,4,3,4,Detractor,"Honestly, the gallery walk during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd; It was useful overall. The organizers ran things smoothly even with a big crowd, the gallery walk during Intro to Painting Class really clicked for me; It was useful overall. (wish there had been more time). To be fair, the organizers ran things smoothly even with a big crowd, the sketch warmups during Intro to Painting Class really clicked for me; I might recommend it depending on the topic. — especially for beginners!",9/30/22 6:28
19,25,5,4,4,5,4.5,Promoter,"The mentors were down-to-earth and answered real questions, the color theory lesson during Intro to Painting Class really clicked for me.",6/2/23 8:10
20,27,4,4,5,5,4.5,Promoter,"To be fair, the web dev sprint during Data Science Study Group really clicked for me, it boosted my confidence more than I expected! I met people who want to collaborate on projects, the Arduino demo during Data Science Study Group really clicked for me; I'd definitely recommend this to a friend. (snacks were a plus)!",11/24/22 23:11
